"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant"
"ENSG00000242880.2","ENSG00000242880.2",17.0998437005579,1.2595899482409,0.474259474463649,2.65590887702434,0.00790949837160084,0.0243713571014638,"ENSG00000242880",TRUE
"ENSG00000236499.3","LINC00896",5.73933910366139,2.44708691426287,0.921520591874288,2.65548804426141,0.00791937407019655,0.0243973606399815,"ENSG00000236499",TRUE
"ENSG00000234883.7","MIR155HG",50.0897584176869,0.848240542499737,0.319565327417743,2.65435724630694,0.00794596527887346,0.02446931071924,"ENSG00000234883",TRUE
"ENSG00000223697.3","ENSG00000223697.3",59.0821532987654,0.737093276415299,0.277707247896847,2.65420971903869,0.00794944033724974,0.024476666912228,"ENSG00000223697",TRUE
"ENSG00000257365.8","FNTB",122.506039613353,0.556153480129891,0.209545240798465,2.65409740641537,0.00795208681431398,0.0244825962937204,"ENSG00000257365",TRUE
"ENSG00000135976.21","ANKRD36",946.136393999465,0.377049184089524,0.142090403850311,2.65358654682082,0.00796413440721878,0.0245152440003994,"ENSG00000135976",TRUE
"ENSG00000124092.13","CTCFL",8.84520033613738,1.82965978573938,0.689826807471355,2.65234659761371,0.00799344411876728,0.0245987778425699,"ENSG00000124092",TRUE
"ENSG00000139974.17","SLC38A6",379.114110042627,0.417381428771634,0.157371342959982,2.65220732644933,0.00799674221355999,0.0246066980261079,"ENSG00000139974",TRUE
"ENSG00000234311.1","ENSG00000234311.1",4.97886574313567,2.88198728957091,1.0873276937246,2.6505232104397,0.00803672050322266,0.0247252352190442,"ENSG00000234311",TRUE
"ENSG00000149091.15","DGKZ",1287.81569043324,0.365771066659668,0.138053892074096,2.64948029471963,0.00806156732684632,0.0247949401447226,"ENSG00000149091",TRUE
"ENSG00000135446.17","CDK4",586.792708391401,0.497386927947608,0.187759994867424,2.64905699586757,0.00807167176704089,0.024821523319106,"ENSG00000135446",TRUE
"ENSG00000184574.10","LPAR5",3.50916470187451,3.70773278671414,1.39975876526107,2.64883698443753,0.0080769280708449,0.0248354388259672,"ENSG00000184574",TRUE
"ENSG00000250619.1","ENSG00000250619.1",2.10113691084356,4.12257839693657,1.55650486900955,2.64861259287925,0.00808229217676026,0.024849683260336,"ENSG00000250619",TRUE
"ENSG00000196275.16","GTF2IRD2",84.5834830670254,0.615527547658449,0.232555759403621,2.64679554373086,0.00812584655251239,0.0249768125686129,"ENSG00000196275",TRUE
"ENSG00000143641.10","GALNT2",2026.24459172259,0.343610858570456,0.129835729956835,2.64650461536813,0.00813283953683886,0.024996045366209,"ENSG00000143641",TRUE
"ENSG00000109107.14","ALDOC",25.4068933091589,1.03950415647769,0.392800927120738,2.64638926414288,0.00813561370115596,0.0250023094364305,"ENSG00000109107",TRUE
"ENSG00000153487.13","ING1",261.673698600635,0.460004541727683,0.173848481742805,2.64600839257384,0.00814477957106475,0.0250259495676099,"ENSG00000153487",TRUE
"ENSG00000284707.2","ENSG00000284707.2",86.2968262388216,0.596858856248964,0.225583820464616,2.64584071242194,0.00814881780960755,0.0250360929230055,"ENSG00000284707",TRUE
"ENSG00000115241.11","PPM1G",1567.27778031081,0.37743721479552,0.142667605586721,2.64557054310478,0.00815532806309921,0.0250538286739038,"ENSG00000115241",TRUE
"ENSG00000251166.1","OR7E163P",5.86084122163418,2.49219004967188,0.942050194216857,2.64549603086031,0.00815712439891038,0.0250570809895268,"ENSG00000251166",TRUE
"ENSG00000132603.15","NIP7",579.979551560101,0.475326738010375,0.179743303828949,2.64447535949776,0.0081817663453857,0.025125959607636,"ENSG00000132603",TRUE
"ENSG00000240327.3","RN7SL93P",3.31967120943735,3.74088178576395,1.414737596604,2.64422306634371,0.00818786768895652,0.0251401509227583,"ENSG00000240327",TRUE
"ENSG00000175606.11","TMEM70",833.448259555115,1.099034887325,0.415809478031822,2.64312129806933,0.00821456010113795,0.0252129915528557,"ENSG00000175606",TRUE
"ENSG00000228204.2","ENSG00000228204.2",2.09906625217265,4.12387484206947,1.56031461212364,2.64297649334754,0.008218074052008,0.0252214979579515,"ENSG00000228204",TRUE
"ENSG00000179965.12","ZNF771",154.944249823201,0.614505486279835,0.232548797118805,2.64247974572793,0.00823013876416947,0.0252539614761796,"ENSG00000179965",TRUE
"ENSG00000252722.1","LOC124900369",3.27174223571212,3.73797631103369,1.41486123202323,2.64193846465666,0.00824330312086187,0.0252897868866904,"ENSG00000252722",TRUE
"ENSG00000286643.1","ENSG00000286643.1",8.4136249396446,1.90299751206236,0.720337851093379,2.64181246226872,0.00824637029458991,0.0252969119630299,"ENSG00000286643",TRUE
"ENSG00000225152.1","ENSG00000225152.1",10.3533961272254,1.70309752253221,0.645056631634248,2.64022946050089,0.00828499111765331,0.0254039157144293,"ENSG00000225152",TRUE
"ENSG00000236387.2","ENSG00000236387.2",3.96687301820947,3.27720033574447,1.24134923742948,2.64003089294253,0.0082898470172081,0.0254155412426032,"ENSG00000236387",TRUE
"ENSG00000142273.13","CBLC",2.08728523497591,4.13142775893464,1.56524333111069,2.63947954724905,0.00830334333533946,0.0254532954078883,"ENSG00000142273",TRUE
"ENSG00000136631.16","VPS45",860.661254720465,0.360475285917582,0.136594815198026,2.63901148367154,0.00831481642647721,0.0254815673410229,"ENSG00000136631",TRUE
"ENSG00000255717.9","SNHG1",741.966584959687,0.601605074940214,0.227966070197371,2.63901147402922,0.0083148166629739,0.0254815673410229,"ENSG00000255717",TRUE
"ENSG00000182827.9","ACBD3",1291.33113034282,0.398624975526006,0.151107560336734,2.63802138448728,0.00833913230389458,0.0255491698474512,"ENSG00000182827",TRUE
"ENSG00000141293.16","SKAP1",15.9217552699109,1.30013838089815,0.492910867291172,2.63767440966186,0.00834766871045093,0.0255730168431275,"ENSG00000141293",TRUE
"ENSG00000250073.4","ESAM-AS1",48.8342787413729,0.791392350709071,0.300050507203182,2.63753045474165,0.00835121263787421,0.0255815664968267,"ENSG00000250073",TRUE
"ENSG00000216588.9","IGSF23",16.8063760836839,1.26269271847231,0.478781790421384,2.63730313836915,0.0083568115243784,0.0255964088241736,"ENSG00000216588",TRUE
"ENSG00000171551.12","ECEL1",2.24222745470657,4.26633902071215,1.61771840461934,2.63725689744875,0.00835795086629593,0.0255975903909783,"ENSG00000171551",TRUE
"ENSG00000211892.4","IGHG4",4.0077922995816,3.23618737163157,1.22721251411041,2.63702279305508,0.00836372115735011,0.0256083360620938,"ENSG00000211892",TRUE
"ENSG00000139531.13","SUOX",177.042354797761,0.470572828632093,0.178475698669927,2.63662129992483,0.00837362560444659,0.025634040603086,"ENSG00000139531",TRUE
"ENSG00000205076.5","LGALS7",2.10607594452575,4.15948576687957,1.57799631252727,2.63592869885599,0.00839073606500871,0.0256817915530921,"ENSG00000205076",TRUE
"ENSG00000224892.6","RPS4XP16",19.0551265014885,1.18082194838905,0.448013269772519,2.63568520858459,0.00839675883028433,0.025695594950189,"ENSG00000224892",TRUE
"ENSG00000285825.2","CCDC15-DT",19.6469454380203,1.16051658538194,0.44033837510644,2.63551089568657,0.0084010728583663,0.0257064807542552,"ENSG00000285825",TRUE
"ENSG00000288850.1","ENSG00000288850.1",19.3733417179338,1.25184498818432,0.475051082238494,2.63517974169323,0.00840927396994951,0.0257292576302689,"ENSG00000288850",TRUE
"ENSG00000151414.15","NEK7",1139.33603038467,0.378787638079613,0.143747588507692,2.63508864400423,0.00841153128252186,0.0257338462221654,"ENSG00000151414",TRUE
"ENSG00000203364.2","ENSG00000203364.2",4.61740695052507,2.89699130192837,1.09945431914997,2.63493557801304,0.00841532532999432,0.0257431349792189,"ENSG00000203364",TRUE
"ENSG00000266412.6","NCOA4",2931.44114917455,0.392429804620968,0.148948994379631,2.63465897339843,0.0084221854122116,0.0257581497517175,"ENSG00000266412",TRUE
"ENSG00000167705.12","RILP",65.7793228099947,0.665521570695341,0.252603796941375,2.63464595051117,0.00842250851661347,0.0257581497517175,"ENSG00000167705",TRUE
"ENSG00000134115.13","CNTN6",3.17254213712915,3.72529781602717,1.41401518643289,2.63455290421945,0.00842481736463459,0.025762157760797,"ENSG00000134115",TRUE
"ENSG00000170175.11","CHRNB1",170.707769391903,0.53199937199197,0.201947513761863,2.63434474672119,0.00842998462866503,0.0257740520131858,"ENSG00000170175",TRUE
"ENSG00000288598.2","LOC105370174",34.0456589185202,0.879593243597309,0.333999891811834,2.63351355842009,0.00845064616436305,0.0258348977509751,"ENSG00000288598",TRUE
"ENSG00000185798.8","WDR53",201.371227812509,0.540280300814298,0.205158672217587,2.63347532412029,0.00845159767460793,0.0258354814444818,"ENSG00000185798",TRUE
"ENSG00000279970.1","ENSG00000279970.1",19.6661207339739,1.16797680067695,0.443541843127839,2.63329563776988,0.00845607068632075,0.025844503245721,"ENSG00000279970",TRUE
"ENSG00000203645.2","LINC00501",4.04314108990079,3.27250106943646,1.24298623037251,2.63277338837111,0.00846908329245793,0.0258749614389468,"ENSG00000203645",TRUE
"ENSG00000269949.1","ENSG00000269949.1",27.4036524805905,0.979064737063557,0.371888796250855,2.63268145460111,0.00847137580922277,0.0258777301022369,"ENSG00000269949",TRUE
"ENSG00000075089.10","ACTR6",174.509810657511,0.572453876477159,0.217441830237219,2.63267594764374,0.00847151315169789,0.0258777301022369,"ENSG00000075089",TRUE
"ENSG00000244701.1","ENSG00000244701.1",29.4111165006595,0.948636900123112,0.360428734869601,2.63196801017077,0.00848918556839982,0.025924719534964,"ENSG00000244701",TRUE
"ENSG00000254635.6","ENSG00000254635.6",214.573354544456,0.456636028311254,0.173495291833317,2.63197936662143,0.0084889018145602,0.025924719534964,"ENSG00000254635",TRUE
"ENSG00000232192.1","KIF26B-AS1",38.1481493355064,0.886264279199042,0.336806475349434,2.63137541604434,0.00850400398029934,0.0259650976459684,"ENSG00000232192",TRUE
"ENSG00000172469.17","MANEA",454.970709646477,0.447822256672137,0.170217457517209,2.63088324314128,0.00851632883605345,0.025993589532129,"ENSG00000172469",TRUE
"ENSG00000183044.12","ABAT",37.6439361701459,0.858188476411478,0.326214663918167,2.63074769878144,0.008519725903679,0.0260016216977689,"ENSG00000183044",TRUE
"ENSG00000225689.2","ENSG00000225689.2",14.3375560295416,1.46998117781866,0.558890313807109,2.63017830422804,0.00853400953952358,0.0260405350375976,"ENSG00000225689",TRUE
"ENSG00000284601.1","LOC105378736",3.50980169924654,3.7999913742659,1.44481547870175,2.63008766882841,0.00853628516226409,0.0260451391710937,"ENSG00000284601",TRUE
"ENSG00000112874.10","NUDT12",200.443036164944,0.469027590663445,0.178454382201956,2.62827723744351,0.00858185425514234,0.0261724210216085,"ENSG00000112874",TRUE
"ENSG00000183283.16","DAZAP2",1529.37210519574,0.436745733156456,0.166208376858771,2.62769988739835,0.00859643199260851,0.0262121725246792,"ENSG00000183283",TRUE
"ENSG00000108406.10","DHX40",1977.90665039026,0.407664401248004,0.155230784018038,2.62618271128897,0.00863484533976389,0.0263151288804145,"ENSG00000108406",TRUE
"ENSG00000157765.13","SLC34A2",4.17594899908017,3.36981818672864,1.28358010195075,2.62532753632382,0.008656565045078,0.0263742220334747,"ENSG00000157765",TRUE
"ENSG00000198815.9","FOXJ3",2244.3654713152,0.302208687570782,0.115163889345879,2.62416187302547,0.0086862491631342,0.0264575422859884,"ENSG00000198815",TRUE
"ENSG00000270659.2","ENSG00000270659.2",6.28057654259557,2.43324672550713,0.927301593109764,2.62400792103364,0.00869017641021567,0.0264671310232409,"ENSG00000270659",TRUE
